titolo,generazione,criterio,luogo,dex,specie,condizione
"Cristallo",2,tipo di casella,,102,Exeggcute,"colpo di testa; colpo di testa su albero speciale"
"Cristallo",2,tipo di casella,,123,Scyther,"gara di scarabei"
"Cristallo",2,tipo di casella,,127,Pinsir,"gara di scarabei"
"Cristallo",2,tipo di casella,,190,Aipom,"colpo di testa; colpo di testa su albero speciale"
"Cristallo",2,tipo di casella,,204,Pineco,"colpo di testa; colpo di testa su albero speciale"
"Cristallo",2,tipo di casella,,213,Shuckle,"spaccaroccia"
"Cristallo",2,tipo di casella,,214,Heracross,"colpo di testa su albero speciale"
"Cristallo",2,area monospecie,9,201,Unown,"tipo 0, ordinaria"
"Rubino",3,tipo di casella,,75,Graveler,"spaccaroccia"
"Rubino",3,tipo di casella,,299,Nosepass,"spaccaroccia"
"Rubino",3,tipo di casella,,349,Feebas,"sciame in acqua"
"Rubino",3,luogo dedicato,60,293,Whismur,
"Rubino",3,area monospecie,34,349,Feebas,"tipo 7, sciame in acqua"
"Rubino",3,area monospecie,45,360,Wynaut,"tipo 0, ordinaria"
"Rubino",3,area monospecie,57,54,Psyduck,"tipo 1, ordinaria"
"Zaffiro",3,tipo di casella,,75,Graveler,"spaccaroccia"
"Zaffiro",3,tipo di casella,,299,Nosepass,"spaccaroccia"
"Zaffiro",3,tipo di casella,,349,Feebas,"sciame in acqua"
"Zaffiro",3,luogo dedicato,60,293,Whismur,
"Zaffiro",3,area monospecie,34,349,Feebas,"tipo 7, sciame in acqua"
"Zaffiro",3,area monospecie,45,360,Wynaut,"tipo 0, ordinaria"
"Zaffiro",3,area monospecie,57,54,Psyduck,"tipo 1, ordinaria"
"Smeraldo",3,tipo di casella,,213,Shuckle,"spaccaroccia"
"Smeraldo",3,tipo di casella,,299,Nosepass,"spaccaroccia"
"Smeraldo",3,tipo di casella,,349,Feebas,"sciame in acqua"
"Smeraldo",3,luogo dedicato,60,293,Whismur,
"Smeraldo",3,luogo dedicato,202,235,Smeargle,
"Smeraldo",3,luogo dedicato,210,41,Zubat,
"Smeraldo",3,area monospecie,34,349,Feebas,"tipo 7, sciame in acqua"
"Smeraldo",3,area monospecie,45,360,Wynaut,"tipo 0, ordinaria"
"Smeraldo",3,area monospecie,57,54,Psyduck,"tipo 1, ordinaria"
"Smeraldo",3,area monospecie,57,213,Shuckle,"tipo 5, spaccaroccia"
"Smeraldo",3,area monospecie,202,235,Smeargle,"tipo 0, ordinaria"
"Rosso Fuoco",3,tipo di casella,,75,Graveler,"spaccaroccia"
"Rosso Fuoco",3,tipo di casella,,219,Magcargo,"spaccaroccia"
"Rosso Fuoco",3,luogo dedicato,154,206,Dunsparce,
"Rosso Fuoco",3,luogo dedicato,183,41,Zubat,
"Rosso Fuoco",3,luogo dedicato,188,201,Unown,
"Rosso Fuoco",3,luogo dedicato,189,201,Unown,
"Rosso Fuoco",3,luogo dedicato,190,201,Unown,
"Rosso Fuoco",3,luogo dedicato,191,201,Unown,
"Rosso Fuoco",3,luogo dedicato,192,201,Unown,
"Rosso Fuoco",3,luogo dedicato,193,201,Unown,
"Rosso Fuoco",3,luogo dedicato,194,201,Unown,
"Rosso Fuoco",3,area monospecie,154,206,Dunsparce,"tipo 0, ordinaria"
"Verde Foglia",3,tipo di casella,,75,Graveler,"spaccaroccia"
"Verde Foglia",3,tipo di casella,,219,Magcargo,"spaccaroccia"
"Verde Foglia",3,luogo dedicato,154,206,Dunsparce,
"Verde Foglia",3,luogo dedicato,183,41,Zubat,
"Verde Foglia",3,luogo dedicato,188,201,Unown,
"Verde Foglia",3,luogo dedicato,189,201,Unown,
"Verde Foglia",3,luogo dedicato,190,201,Unown,
"Verde Foglia",3,luogo dedicato,191,201,Unown,
"Verde Foglia",3,luogo dedicato,192,201,Unown,
"Verde Foglia",3,luogo dedicato,193,201,Unown,
"Verde Foglia",3,luogo dedicato,194,201,Unown,
"Verde Foglia",3,area monospecie,154,206,Dunsparce,"tipo 0, ordinaria"
"sciami di Hoenn",3,tipo di casella,,283,Surskit,"sciame nell'erba"
"sciami di Hoenn",3,tipo di casella,,300,Skitty,"sciame nell'erba"
"sciami di Hoenn",3,luogo dedicato,17,283,Surskit,
"sciami di Hoenn",3,luogo dedicato,29,283,Surskit,
"sciami di Hoenn",3,luogo dedicato,31,300,Skitty,
"sciami di Hoenn",3,luogo dedicato,32,283,Surskit,
"sciami di Hoenn",3,luogo dedicato,35,283,Surskit,
"sciami di Hoenn",3,area monospecie,31,300,Skitty,"tipo 6, sciame nell'erba"
"Diamante",4,tipo di casella,,190,Aipom,"albero del miele"
"Diamante",4,tipo di casella,,214,Heracross,"albero del miele"
"Diamante",4,tipo di casella,,412,Burmy,"albero del miele"
"Diamante",4,tipo di casella,,415,Combee,"albero del miele"
"Diamante",4,tipo di casella,,420,Cherubi,"albero del miele"
"Diamante",4,tipo di casella,,446,Munchlax,"albero del miele"
"Diamante",4,luogo dedicato,53,201,Unown,
"Diamante",4,area monospecie,53,201,Unown,"tipo 0, ordinaria"
"Perla",4,tipo di casella,,190,Aipom,"albero del miele"
"Perla",4,tipo di casella,,214,Heracross,"albero del miele"
"Perla",4,tipo di casella,,412,Burmy,"albero del miele"
"Perla",4,tipo di casella,,415,Combee,"albero del miele"
"Perla",4,tipo di casella,,420,Cherubi,"albero del miele"
"Perla",4,tipo di casella,,446,Munchlax,"albero del miele"
"Perla",4,luogo dedicato,53,201,Unown,
"Perla",4,area monospecie,53,201,Unown,"tipo 0, ordinaria"
"Platino",4,tipo di casella,,190,Aipom,"albero del miele"
"Platino",4,tipo di casella,,214,Heracross,"albero del miele"
"Platino",4,tipo di casella,,412,Burmy,"albero del miele"
"Platino",4,tipo di casella,,415,Combee,"albero del miele"
"Platino",4,tipo di casella,,420,Cherubi,"albero del miele"
"Platino",4,tipo di casella,,446,Munchlax,"albero del miele"
"Platino",4,luogo dedicato,53,201,Unown,
"Platino",4,area monospecie,53,201,Unown,"tipo 0, ordinaria"
"Oro HeartGold",4,tipo di casella,,13,Weedle,"gara di scarabei"
"Oro HeartGold",4,tipo di casella,,14,Kakuna,"gara di scarabei"
"Oro HeartGold",4,tipo di casella,,15,Beedrill,"gara di scarabei"
"Oro HeartGold",4,tipo di casella,,23,Ekans,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,24,Arbok,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,102,Exeggcute,"colpo di testa; colpo di testa su albero speciale"
"Oro HeartGold",4,tipo di casella,,110,Weezing,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,112,Rhydon,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,123,Scyther,"gara di scarabei"
"Oro HeartGold",4,tipo di casella,,127,Pinsir,"gara di scarabei"
"Oro HeartGold",4,tipo di casella,,131,Lapras,"zona safari, acqua"
"Oro HeartGold",4,tipo di casella,,189,Jumpluff,"zona safari, acqua; zona safari, erba"
"Oro HeartGold",4,tipo di casella,,190,Aipom,"colpo di testa"
"Oro HeartGold",4,tipo di casella,,204,Pineco,"colpo di testa"
"Oro HeartGold",4,tipo di casella,,213,Shuckle,"spaccaroccia; zona safari, erba"
"Oro HeartGold",4,tipo di casella,,214,Heracross,"colpo di testa; colpo di testa su albero speciale"
"Oro HeartGold",4,tipo di casella,,229,Houndoom,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,265,Wurmple,"colpo di testa; colpo di testa su albero speciale; gara di scarabei"
"Oro HeartGold",4,tipo di casella,,266,Silcoon,"gara di scarabei"
"Oro HeartGold",4,tipo di casella,,267,Beautifly,"gara di scarabei"
"Oro HeartGold",4,tipo di casella,,268,Cascoon,"gara di scarabei"
"Oro HeartGold",4,tipo di casella,,269,Dustox,"gara di scarabei"
"Oro HeartGold",4,tipo di casella,,270,Lotad,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,271,Lombre,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,273,Seedot,"colpo di testa; zona safari, erba"
"Oro HeartGold",4,tipo di casella,,274,Nuzleaf,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,276,Taillow,"colpo di testa su albero speciale"
"Oro HeartGold",4,tipo di casella,,283,Surskit,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,284,Masquerain,"zona safari, acqua"
"Oro HeartGold",4,tipo di casella,,285,Shroomish,"colpo di testa; zona safari, erba"
"Oro HeartGold",4,tipo di casella,,286,Breloom,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,287,Slakoth,"colpo di testa su albero speciale"
"Oro HeartGold",4,tipo di casella,,288,Vigoroth,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,290,Nincada,"gara di scarabei"
"Oro HeartGold",4,tipo di casella,,298,Azurill,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,299,Nosepass,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,304,Aron,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,305,Lairon,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,308,Medicham,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,309,Electrike,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,310,Manectric,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,313,Volbeat,"gara di scarabei; zona safari, erba"
"Oro HeartGold",4,tipo di casella,,314,Illumise,"gara di scarabei; zona safari, erba"
"Oro HeartGold",4,tipo di casella,,315,Roselia,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,324,Torkoal,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,328,Trapinch,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,329,Vibrava,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,331,Cacnea,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,332,Cacturne,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,335,Zangoose,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,336,Seviper,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,337,Lunatone,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,338,Solrock,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,339,Barboach,"zona safari, canna super"
"Oro HeartGold",4,tipo di casella,,341,Corphish,"zona safari, canna buona; zona safari, canna super"
"Oro HeartGold",4,tipo di casella,,353,Shuppet,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,354,Banette,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,355,Duskull,"zona safari, acqua; zona safari, erba"
"Oro HeartGold",4,tipo di casella,,356,Dusclops,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,358,Chimecho,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,363,Spheal,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,364,Sealeo,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,371,Bagon,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,372,Shelgon,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,374,Beldum,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,375,Metang,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,396,Starly,"colpo di testa su albero speciale"
"Oro HeartGold",4,tipo di casella,,402,Kricketune,"gara di scarabei"
"Oro HeartGold",4,tipo di casella,,404,Luxio,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,412,Burmy,"colpo di testa su albero speciale"
"Oro HeartGold",4,tipo di casella,,415,Combee,"colpo di testa; colpo di testa su albero speciale; gara di scarabei"
"Oro HeartGold",4,tipo di casella,,417,Pachirisu,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,419,Floatzel,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,420,Cherubi,"colpo di testa su albero speciale"
"Oro HeartGold",4,tipo di casella,,437,Bronzong,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,443,Gible,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,447,Riolu,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,449,Hippopotas,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,451,Skorupi,"zona safari, erba"
"Oro HeartGold",4,tipo di casella,,453,Croagunk,"zona safari, erba"
"Oro HeartGold",4,area monospecie,209,201,Unown,"tipo 0, ordinaria"
"Argento SoulSilver",4,tipo di casella,,10,Caterpie,"gara di scarabei"
"Argento SoulSilver",4,tipo di casella,,11,Metapod,"gara di scarabei"
"Argento SoulSilver",4,tipo di casella,,12,Butterfree,"gara di scarabei"
"Argento SoulSilver",4,tipo di casella,,27,Sandshrew,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,28,Sandslash,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,102,Exeggcute,"colpo di testa; colpo di testa su albero speciale"
"Argento SoulSilver",4,tipo di casella,,110,Weezing,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,112,Rhydon,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,123,Scyther,"gara di scarabei"
"Argento SoulSilver",4,tipo di casella,,127,Pinsir,"gara di scarabei"
"Argento SoulSilver",4,tipo di casella,,131,Lapras,"zona safari, acqua"
"Argento SoulSilver",4,tipo di casella,,189,Jumpluff,"zona safari, acqua; zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,190,Aipom,"colpo di testa"
"Argento SoulSilver",4,tipo di casella,,204,Pineco,"colpo di testa"
"Argento SoulSilver",4,tipo di casella,,213,Shuckle,"spaccaroccia; zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,214,Heracross,"colpo di testa; colpo di testa su albero speciale"
"Argento SoulSilver",4,tipo di casella,,229,Houndoom,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,265,Wurmple,"colpo di testa; colpo di testa su albero speciale; gara di scarabei"
"Argento SoulSilver",4,tipo di casella,,266,Silcoon,"gara di scarabei"
"Argento SoulSilver",4,tipo di casella,,267,Beautifly,"gara di scarabei"
"Argento SoulSilver",4,tipo di casella,,268,Cascoon,"gara di scarabei"
"Argento SoulSilver",4,tipo di casella,,269,Dustox,"gara di scarabei"
"Argento SoulSilver",4,tipo di casella,,270,Lotad,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,271,Lombre,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,273,Seedot,"colpo di testa; zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,274,Nuzleaf,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,276,Taillow,"colpo di testa su albero speciale"
"Argento SoulSilver",4,tipo di casella,,283,Surskit,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,284,Masquerain,"zona safari, acqua"
"Argento SoulSilver",4,tipo di casella,,285,Shroomish,"colpo di testa; zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,286,Breloom,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,287,Slakoth,"colpo di testa su albero speciale"
"Argento SoulSilver",4,tipo di casella,,288,Vigoroth,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,290,Nincada,"gara di scarabei"
"Argento SoulSilver",4,tipo di casella,,298,Azurill,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,299,Nosepass,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,304,Aron,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,305,Lairon,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,308,Medicham,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,309,Electrike,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,310,Manectric,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,313,Volbeat,"gara di scarabei; zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,314,Illumise,"gara di scarabei; zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,315,Roselia,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,324,Torkoal,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,328,Trapinch,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,329,Vibrava,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,331,Cacnea,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,332,Cacturne,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,335,Zangoose,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,336,Seviper,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,337,Lunatone,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,338,Solrock,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,339,Barboach,"zona safari, canna super"
"Argento SoulSilver",4,tipo di casella,,341,Corphish,"zona safari, canna buona; zona safari, canna super"
"Argento SoulSilver",4,tipo di casella,,353,Shuppet,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,354,Banette,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,355,Duskull,"zona safari, acqua; zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,356,Dusclops,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,358,Chimecho,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,363,Spheal,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,364,Sealeo,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,371,Bagon,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,372,Shelgon,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,374,Beldum,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,375,Metang,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,396,Starly,"colpo di testa su albero speciale"
"Argento SoulSilver",4,tipo di casella,,402,Kricketune,"gara di scarabei"
"Argento SoulSilver",4,tipo di casella,,404,Luxio,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,412,Burmy,"colpo di testa su albero speciale"
"Argento SoulSilver",4,tipo di casella,,415,Combee,"colpo di testa; colpo di testa su albero speciale; gara di scarabei"
"Argento SoulSilver",4,tipo di casella,,417,Pachirisu,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,419,Floatzel,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,420,Cherubi,"colpo di testa su albero speciale"
"Argento SoulSilver",4,tipo di casella,,437,Bronzong,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,443,Gible,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,447,Riolu,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,449,Hippopotas,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,451,Skorupi,"zona safari, erba"
"Argento SoulSilver",4,tipo di casella,,453,Croagunk,"zona safari, erba"
"Argento SoulSilver",4,area monospecie,209,201,Unown,"tipo 0, ordinaria"
"Nero",5,tipo di casella,,56,Mankey,"sciame"
"Nero",5,tipo di casella,,83,Farfetch’d,"sciame"
"Nero",5,tipo di casella,,84,Doduo,"sciame"
"Nero",5,tipo di casella,,102,Exeggcute,"sciame"
"Nero",5,tipo di casella,,161,Sentret,"sciame"
"Nero",5,tipo di casella,,193,Yanma,"sciame"
"Nero",5,tipo di casella,,204,Pineco,"sciame"
"Nero",5,tipo di casella,,228,Houndour,"sciame"
"Nero",5,tipo di casella,,235,Smeargle,"sciame"
"Nero",5,tipo di casella,,236,Tyrogue,"sciame"
"Nero",5,tipo di casella,,285,Shroomish,"sciame"
"Nero",5,tipo di casella,,311,Plusle,"sciame"
"Nero",5,tipo di casella,,313,Volbeat,"sciame"
"Nero",5,tipo di casella,,353,Shuppet,"sciame"
"Nero",5,tipo di casella,,360,Wynaut,"sciame"
"Nero",5,tipo di casella,,449,Hippopotas,"sciame"
"Nero",5,tipo di casella,,453,Croagunk,"sciame"
"Nero",5,luogo dedicato,65,580,Ducklett,
"Nero",5,luogo dedicato,68,581,Swanna,
"Nero",5,area monospecie,14,83,Farfetch’d,"tipo 4, sciame"
"Nero",5,area monospecie,15,360,Wynaut,"tipo 4, sciame"
"Nero",5,area monospecie,16,313,Volbeat,"tipo 4, sciame"
"Nero",5,area monospecie,17,449,Hippopotas,"tipo 4, sciame"
"Nero",5,area monospecie,18,235,Smeargle,"tipo 4, sciame"
"Nero",5,area monospecie,19,311,Plusle,"tipo 4, sciame"
"Nero",5,area monospecie,20,161,Sentret,"tipo 4, sciame"
"Nero",5,area monospecie,21,453,Croagunk,"tipo 4, sciame"
"Nero",5,area monospecie,22,228,Houndour,"tipo 4, sciame"
"Nero",5,area monospecie,23,236,Tyrogue,"tipo 4, sciame"
"Nero",5,area monospecie,24,285,Shroomish,"tipo 4, sciame"
"Nero",5,area monospecie,25,84,Doduo,"tipo 4, sciame"
"Nero",5,area monospecie,26,353,Shuppet,"tipo 4, sciame"
"Nero",5,area monospecie,27,193,Yanma,"tipo 4, sciame"
"Nero",5,area monospecie,28,56,Mankey,"tipo 4, sciame"
"Nero",5,area monospecie,29,204,Pineco,"tipo 4, sciame"
"Nero",5,area monospecie,31,102,Exeggcute,"tipo 4, sciame"
"Nero",5,area monospecie,35,344,Claydol,"tipo 1, ordinaria"
"Nero",5,area monospecie,39,622,Golett,"tipo 1, ordinaria"
"Nero",5,area monospecie,56,607,Litwick,"tipo 1, ordinaria"
"Nero",5,area monospecie,65,580,Ducklett,"tipo 1, ordinaria"
"Nero",5,area monospecie,68,581,Swanna,"tipo 1, ordinaria"
"Bianco",5,tipo di casella,,46,Paras,"sciame"
"Bianco",5,tipo di casella,,56,Mankey,"sciame"
"Bianco",5,tipo di casella,,83,Farfetch’d,"sciame"
"Bianco",5,tipo di casella,,84,Doduo,"sciame"
"Bianco",5,tipo di casella,,102,Exeggcute,"sciame"
"Bianco",5,tipo di casella,,161,Sentret,"sciame"
"Bianco",5,tipo di casella,,193,Yanma,"sciame"
"Bianco",5,tipo di casella,,204,Pineco,"sciame"
"Bianco",5,tipo di casella,,235,Smeargle,"sciame"
"Bianco",5,tipo di casella,,236,Tyrogue,"sciame"
"Bianco",5,tipo di casella,,261,Poochyena,"sciame"
"Bianco",5,tipo di casella,,312,Minun,"sciame"
"Bianco",5,tipo di casella,,314,Illumise,"sciame"
"Bianco",5,tipo di casella,,353,Shuppet,"sciame"
"Bianco",5,tipo di casella,,360,Wynaut,"sciame"
"Bianco",5,tipo di casella,,449,Hippopotas,"sciame"
"Bianco",5,tipo di casella,,453,Croagunk,"sciame"
"Bianco",5,luogo dedicato,65,580,Ducklett,
"Bianco",5,luogo dedicato,68,581,Swanna,
"Bianco",5,area monospecie,14,83,Farfetch’d,"tipo 4, sciame"
"Bianco",5,area monospecie,15,360,Wynaut,"tipo 4, sciame"
"Bianco",5,area monospecie,16,314,Illumise,"tipo 4, sciame"
"Bianco",5,area monospecie,17,449,Hippopotas,"tipo 4, sciame"
"Bianco",5,area monospecie,18,235,Smeargle,"tipo 4, sciame"
"Bianco",5,area monospecie,19,312,Minun,"tipo 4, sciame"
"Bianco",5,area monospecie,20,161,Sentret,"tipo 4, sciame"
"Bianco",5,area monospecie,21,453,Croagunk,"tipo 4, sciame"
"Bianco",5,area monospecie,22,261,Poochyena,"tipo 4, sciame"
"Bianco",5,area monospecie,23,236,Tyrogue,"tipo 4, sciame"
"Bianco",5,area monospecie,24,46,Paras,"tipo 4, sciame"
"Bianco",5,area monospecie,25,84,Doduo,"tipo 4, sciame"
"Bianco",5,area monospecie,26,353,Shuppet,"tipo 4, sciame"
"Bianco",5,area monospecie,27,193,Yanma,"tipo 4, sciame"
"Bianco",5,area monospecie,28,56,Mankey,"tipo 4, sciame"
"Bianco",5,area monospecie,29,204,Pineco,"tipo 4, sciame"
"Bianco",5,area monospecie,31,102,Exeggcute,"tipo 4, sciame"
"Bianco",5,area monospecie,35,344,Claydol,"tipo 1, ordinaria"
"Bianco",5,area monospecie,39,622,Golett,"tipo 1, ordinaria"
"Bianco",5,area monospecie,56,607,Litwick,"tipo 1, ordinaria"
"Bianco",5,area monospecie,65,580,Ducklett,"tipo 1, ordinaria"
"Bianco",5,area monospecie,68,581,Swanna,"tipo 1, ordinaria"
"Nero 2",5,tipo di casella,,15,Beedrill,"grotta nascosta"
"Nero 2",5,tipo di casella,,22,Fearow,"sciame"
"Nero 2",5,tipo di casella,,29,Nidoran♀,"grotta nascosta"
"Nero 2",5,tipo di casella,,32,Nidoran♂,"grotta nascosta"
"Nero 2",5,tipo di casella,,48,Venonat,"grotta nascosta"
"Nero 2",5,tipo di casella,,79,Slowpoke,"sciame"
"Nero 2",5,tipo di casella,,83,Farfetch’d,"sciame"
"Nero 2",5,tipo di casella,,84,Doduo,"sciame"
"Nero 2",5,tipo di casella,,97,Hypno,"sciame"
"Nero 2",5,tipo di casella,,113,Chansey,"grotta nascosta"
"Nero 2",5,tipo di casella,,127,Pinsir,"grotta nascosta"
"Nero 2",5,tipo di casella,,134,Vaporeon,"grotta nascosta"
"Nero 2",5,tipo di casella,,135,Jolteon,"grotta nascosta"
"Nero 2",5,tipo di casella,,136,Flareon,"grotta nascosta"
"Nero 2",5,tipo di casella,,162,Furret,"sciame"
"Nero 2",5,tipo di casella,,168,Ariados,"sciame"
"Nero 2",5,tipo di casella,,176,Togetic,"grotta nascosta"
"Nero 2",5,tipo di casella,,177,Natu,"sciame"
"Nero 2",5,tipo di casella,,185,Sudowoodo,"sciame"
"Nero 2",5,tipo di casella,,187,Hoppip,"sciame"
"Nero 2",5,tipo di casella,,195,Quagsire,"sciame"
"Nero 2",5,tipo di casella,,196,Espeon,"grotta nascosta"
"Nero 2",5,tipo di casella,,197,Umbreon,"grotta nascosta"
"Nero 2",5,tipo di casella,,198,Murkrow,"grotta nascosta"
"Nero 2",5,tipo di casella,,204,Pineco,"sciame"
"Nero 2",5,tipo di casella,,210,Granbull,"grotta nascosta"
