sorgente,anno,regione,nome,sesso,palla,livello,cromatico,gigantamax,contrassegni,allenatore,allenatori,identificativo,abilita,natura_e_incontro,mosse,fiocchi,descrizione,metodo,luogo,inizio,fine,giochi
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Pokémon Scrap Distribution - Redeem 3 Codes,Serial Code,Japan,5 December 2014,30 April 2015,"Omega Ruby, Alpha Sapphire"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Pokémon Scrap Distribution - Redeem 5 Codes,Serial Code,Japan,5 December 2014,30 April 2015,"Omega Ruby, Alpha Sapphire"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Pokémon Scrap Distribution - Redeem 10 Codes,Serial Code,Japan,5 December 2014,30 April 2015,"Omega Ruby, Alpha Sapphire"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Pokémon Scrap Distribution - Redeem 13 Codes,Serial Code,Japan,5 December 2014,30 April 2015,"Omega Ruby, Alpha Sapphire"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Pokémon Scrap Distribution - Redeem 20 Codes,Serial Code,Japan,5 December 2014,30 April 2015,"Omega Ruby, Alpha Sapphire"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Special Pokémon Omega Ruby & Alpha Sapphire Bonus Gift at WalMart,Serial Code,North America,9 December 2014,2015,"Omega Ruby, Alpha Sapphire"
/events/items/2014.shtml,,Band of Thieves & 1000 Pok&eacute;mon,,,,,no,no,,,0,,,,,,Jump Festa 2015 Distribution,In-Life,Japan,20 December 2014,21 December 2014,"Omega Ruby, Alpha Sapphire"
/events/items/2015.shtml,,,,,eonticket,,no,no,,,0,,,,,,Eon Ticket Repeat Distribution. Code: 2015LATIOSLATIAS,Serial Code,North America,27 February 2015,2 March 2015,"Omega Ruby, Alpha Sapphire"
/events/items/2015.shtml,,,,,eonticket,,no,no,,,0,,,,,,Eon Ticket Repeat Distribution. Code: POKEMON380381,Serial Code,Europe,27 February 2015,2 March 2015,"Omega Ruby, Alpha Sapphire"
/events/items/2015.shtml,,,,,,,no,no,,,0,,,,,,Japan Cup 2015 Online Competition Entry Gift,Serial Code,Japan,12 May 2015,8 January 2015,"Omega Ruby, Alpha Sapphire"
/events/items/2015.shtml,,,,,,,no,no,,,0,,,,,,CoroCoro Challenge Online Competition Entry Gift,Serial Code,Japan,6 October 2015,11 January 2016,"Omega Ruby, Alpha Sapphire"
/events/items/2015.shtml,,,,,,,no,no,,,0,,,,,,Spooky Cup Online Competition Entry Gift,Serial Code,Global,2 November 2015,16 December 2015,"Omega Ruby, Alpha Sapphire"
/events/items/2016.shtml,,Munchlax,,,,,no,no,,,0,,,,,,Pokémon Scrap 2016 - Course A - Redeem 20 Codes,Serial Code,Japan,1 March 2016,31 August 2016,"Omega Ruby, Alpha Sapphire"
/events/items/2016.shtml,,Munchlax,,,,,no,no,,,0,,,,,,Pokémon Scrap 2016 - Course A - Redeem 8 Codes,Serial Code,Japan,1 March 2016,31 August 2016,"Omega Ruby, Alpha Sapphire"
/events/items/2016.shtml,,Munchlax,,,,,no,no,,,0,,,,,,New Nintendo 3DS & Omega Ruby/Alpha Sapphire Bundle,Serial Code,South Korea,21 April 2016,31 March 2017,"Omega Ruby, Alpha Sapphire"
/events/items/2016.shtml,,Munchlax,,,,,no,no,,,0,,,,,,Pokémon Scrap 2016 - Course B - Redeem 20 Codes,Serial Code,Japan,28 April 2016,31 August 2016,"Omega Ruby, Alpha Sapphire"
/events/items/2016.shtml,,Munchlax,,,,,no,no,,,0,,,,,,Pokémon Scrap 2016 - Course B - Redeem 8 Codes,Serial Code,Japan,28 April 2016,31 August 2016,"Omega Ruby, Alpha Sapphire"
/events/items/2016.shtml,,Munchlax,,,,,no,no,,,0,,,,,,Pokémon Sun & Moon Digital Download,Serial Code,Europe,18 November 2016,31 March 2017,"Sun, Moon"
/events/items/2016.shtml,,Munchlax,,,,,no,no,,,0,,,,,,Pokémon Sun & Moon Dual Pack Gift,Serial Code,Japan,18 November 2016,31 March 2017,"Sun, Moon"
/events/items/2016.shtml,,Munchlax,,,,,no,no,,,0,,,,,,Pokémon Sun & Moon Purchase - Taiwan/Hong Kong,Serial Code,Other,18 November 2016,18 November 2016,"Sun, Moon"
/events/items/2016.shtml,,Munchlax,,,,,no,no,,,0,,,,,,Pokémon Center Sapporo Re-Opening Gift,In-Life,Japan,1 December 2016,31 January 2017,"Sun, Moon"
/events/items/2016.shtml,,Munchlax,,,,,no,no,,,0,,,,,,Pokémon Sun & Moon Guidebook Bundle Gift,Serial Code,Japan,14 December 2016,13 January 2018,"Sun, Moon"
/events/items/2016.shtml,,Munchlax,,,,,no,no,,,0,,,,,,CoroCoro Rockruff Item Distribution,Serial Code,Japan,15 December 2016,14 February 2017,"Sun, Moon"
/events/items/2016.shtml,,Munchlax,,,,,no,no,,,0,,,,,,Pokémon Sun & Moon - Early Adopter Gift,Wi-Fi,North America,18 November 2016,11 January 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon TCG Sun & Moon Welcome Festival,Serial Code,Japan,14 January 2017,14 January 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,World Hobby Fair 2017 Winter,In-Life,Japan,22 January 2017,12 February 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon Bank - 2017 Gift,In-Game,Global,25 January 2017,2 October 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon Center Vulpix Side Distribution,In-Life,Japan,1 February 2017,12 March 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,"GAME (UK/Spain), Micromania (France), Gamestop (Italy/Germany/Ireland/Denamark/Finland), GameMania (Benelux)",Serial Code,Europe,3 February 2017,12 March 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Gamestop (US) / EBGames (Canada) / GamePlanet Mexico - Pokémon Day,Serial Code,North America,13 February 2017,5 March 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon Card Game Champions League 2017,Serial Code,Japan,19 February 2017,19 February 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Global Mission #3 Success Gift,Serial Code,Global,21 February 2017,30 March 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Mega Stone Distribution. Code - M2DESCENT,Serial Code,Global,3 March 2017,31 October 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,2017 International Championships February Entry Gift,Serial Code,Global,8 March 2017,30 April 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Global Mission #4 Success Gift,Serial Code,Global,21 March 2017,28 April 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Kanto X Alola Regional Rumble Entry Gift,Serial Code,Global,28 March 2017,30 April 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Mega Stone Distribution. Code - INTIMIDATE,Serial Code,Global,7 April 2017,31 October 20172017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Global Mission #5 Success Gift,Serial Code,Global,18 April 2017,30 May 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Mega Stone Distribution. Code - AZUL,Serial Code,Global,12 May 2017,31 October 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,2017 International Championships April Entry Gift,Serial Code,Global,30 May 2017,30 June 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Global Mission #6 Success Gift,Serial Code,Global,May 2017,30 June 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,2017 International Championships May Entry Gift,Serial Code,Global,6 June 2017,30 July 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Global Mission #7 Success Gift,Serial Code,Global,20 June 2017,30 July 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Mega Stone Distribution. Code - MATSUBUSA,Serial Code,Global,23 June 2017,31 October 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Tiny Tourney Entry Gift,Serial Code,Global,4 July 2017,30 July 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Global Mission #8 Success Gift,Serial Code,Global,18 July 2017,31 August 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,2017 Mega Stone Distribution. Code - SABLEVOLANT,Serial Code,Global,21 July 2017,31 October 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Mega Stone Distribution. Code - SABLEVOLANT,Serial Code,Global,20 July 2017,31 October 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Weakness Cup Entry Gift,Serial Code,Global,8 August 2017,29 September 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Mega Stone Distribution. Code - POYONG,Serial Code,Global,10 August 2017,31 October 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Global Mission #9 Success Gift,Serial Code,Global,August 2017,September 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Mega Stone Distribution. Code - DRACHE,Serial Code,Global,8 September 2017,31 October 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon Ultra Sun & Ultra Moon Dual Pack Gift,Serial Code,Europe,17 November 2017,2018,"Ultra Sun, Ultra Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon Digital Download Gift,Serial Code,Global,17 November 2017,30 November 2017,"Ultra Sun, Ultra Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon Ultra Sun & Ultra Moon Starter Pack,Serial Code,North America,17 November 2017,31 November 2017,"Ultra Sun, Ultra Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon Ultra Sun & Ultra Moon - 7/11 Pre-Order Bonus,Serial Code,Japan,17 November 2017,2018,"Ultra Sun, Ultra Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon Center Roto Loto Distribution,In-Life,Japan,17 November 2017,2018,"Ultra Sun, Ultra Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Tsutaya - Nintendo Zone Gift,Serial Code,Japan,17 November 2017,2018,"Ultra Sun, Ultra Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon Scrap - Mythical Distribution - 3 Codes,Serial Code,Japan,1 December 2017,30 April 2018,"Ultra Sun, Ultra Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon Scrap - Mythical Distribution - 5 Codes,Serial Code,Japan,1 December 2017,30 April 2018,"Ultra Sun, Ultra Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon Scrap - Mythical Distribution - 10 Codes,Serial Code,Japan,1 December 2017,30 April 2018,"Ultra Sun, Ultra Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon Scrap - Mythical Distribution - 13 Codes,Serial Code,Japan,1 December 2017,30 April 2018,"Ultra Sun, Ultra Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon Scrap - Mythical Distribution - 20 Codes,Serial Code,Japan,1 December 2017,30 April 2018,"Ultra Sun, Ultra Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon I Choose You - Tie In-Distribution,Serial Code,North America,19 September 2017,25 September 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon - Marshadow Distribution - Gamestop,Serial Code,North America,9 October 2017,23 October 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon I Choose You - Tie In-Distribution (15/04-01/05 & 19/07-31/07),Serial Code,Japan,15 April 2017,31 July 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon I Choose You - Tie In-Distribution (03/05-15/05 & 02/08-14/08),Serial Code,Japan,03 May 2017,14 August 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon I Choose You - Tie In-Distribution (17/05-29/05 & 16/08-28/08),Serial Code,Japan,17 May 2017,28 August 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon I Choose You - Tie In-Distribution (31/05-12/06 & 30/08-11/09),Serial Code,Japan,31 May 2017,11 September 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon I Choose You - Tie In-Distribution (14/06-26/06 & 13/09-25/09),Serial Code,Japan,14 June 2017,25 September 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon I Choose You - Tie In-Distribution (28/06-17/07 & 27/09-09/10),Serial Code,Japan,28 June 2017,9 October 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon I Choose You - Theatre Distribution,In-Life,Japan,15 July 2017,30 September 2017,"Sun, Moon"
/events/items/2017.shtml,,Pikachu,,,,,no,no,,,0,,,,,,Pokémon - Marshadow Distribution GAME - Spain Gamestop - Germany/Italy Intertoys/GameMania - Netherlands/Belgium,Serial Code,Europe,1 October 2017,14 November 2017,"Sun, Moon"
/events/items/2018.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Global Link - Ultra Sun & Ultra Moon Registration Gift,Serial Code,Global,February 2018,2018,"Ultra Sun, Ultra Moon"
/events/items/2018.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Stand Purchase Gift Distribution,In-Life,Japan,1 June 2018,2018,"Ultra Sun, Ultra Moon"
/events/items/2018.shtml,,,,,,,no,no,,,0,,,,,,Pokémon 7-11 Clearfile Distribution,Serial Code,Japan,10 July 2018,2018,"Sun, Moon, Ultra Sun, Ultra Moon"
/events/items/2018.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Center - Birthday Distribution,Serial Code,Japan,16 November 2018,15 November 2019,
/events/items/2019.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Global Link - Berry Distribution,Wi-Fi,Global,8 January 2019,2 September 2019,"Sun, Moon, Ultra Sun, Ultra Moon"
/events/items/2019.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Download Version Gift,Serial Code,Global,15 November 2019,15 January 2020,"Sword, Shield"
/events/items/2019.shtml,,,,,fruitbunch,,no,no,,,0,,,,,,Pokémon Center - Curry Ingredient,In-Life,Japan,15 November 2019,2020,"Sword, Shield"
/events/items/2019.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Center - Anime Book Distribution,Serial Code,Japan,8 December 2019,30 March 2020,"Sword, Shield"
/events/items/2019.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Ball Guy Distribution - K0UN1NMASC0T,Serial Code,International,19 December 2019,15 January 2020,"Sword, Shield"
/events/items/2019.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Ball Guy Distribution - 1YAHAYA,Serial Code,International,19 December 2019,15 January 2020,"Sword, Shield"
/events/items/2019.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Ball Guy Distribution - 0KUGAFUKA1B0RU,Serial Code,International,19 December 2019,15 January 2020,"Sword, Shield"
/events/items/2019.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Christmas Distribution - PRESENT,Serial Code,International,20 December 2019,30 January 2020,"Sword, Shield"
/events/items/2019.shtml,,,,,,,no,no,,,0,,,,,,Pokémon New Years Distribution - 0T0SH1DAMA,Serial Code,International,31 December 2019,30 January 2020,"Sword, Shield"
/events/items/2019.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield Dual Pack Gift,Serial Code,International,15 November 2019,No End Date,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Ranked Battle Series 1 (Master & Ultra Tier),Battle Stadium,International,1 January 2020,30 January 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Ranked Battle Series 1 (Great Tier),Battle Stadium,International,1 January 2020,30 January 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,"Pokémon Sword & Shield - Ranked Battle Series 1 (Beginning, Poké Ball & Great Tier)",Battle Stadium,International,1 January 2020,30 January 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Galar Newcomer Code: GALAR,Serial Code,International,9 January 2020,27 February 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Code: AREAS1LVESTRE,Serial Code,International,9 January 2020,27 February 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Code: G1GAGRANF1NALE,Serial Code,International,31 January 2020,30 March 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Twitter Distribution (5000 Players Only),Serial Code,International,31 January 2020,30 March 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Ranked Battle Season 2 (Master & Ultra Tier),Battle Stadium,International,1 February 2020,29 February 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Ranked Battle Season 2 (Great Tier),Battle Stadium,International,1 February 2020,29 February 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,"Pokémon Sword & Shield - Ranked Battle Season 2 (Beginning, Poké Ball & Great Tier)",Battle Stadium,International,1 February 2020,29 February 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - 2020 International Challenge February Code: C0MPET1T10N,Serial Code,International,6 February 2020,30 March 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Code: PUNKR0CK,Serial Code,International,7 February 2020,30 March 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Ranked Battle Season 3 (Master & Ultra Tier),Battle Stadium,International,1 March 2020,29 February 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Ranked Battle Season 3 (Great Tier),Battle Stadium,International,1 March 2020,31 March 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,"Pokémon Sword & Shield - Ranked Battle Season 3 (Beginning, Poké Ball & Great Tier)",Battle Stadium,International,1 March 2020,31 March 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,CoroCoro April 2020 Distribution,Serial Code,Japan,14 March 2020,31 March 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Completion Guide Gift,Serial Code,Japan,27 March 2020,30 April 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Ranked Battle Season 4 (Master & Ultra Tier),Battle Stadium,International,1 April 2020,30 April 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Ranked Battle Season 4 (Great Tier),Battle Stadium,International,1 April 2020,30 April 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,"Pokémon Sword & Shield - Ranked Battle Season 4 (Beginning, Poké Ball & Great Tier)",Battle Stadium,International,1 April 2020,30 April 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Ranked Battle Season 5 (Master & Ultra Tier),Battle Stadium,International,1 May 2020,30 May 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Ranked Battle Season 5 (Great Tier),Battle Stadium,International,1 May 2020,30 May 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,"Pokémon Sword & Shield - Ranked Battle Season 5 (Beginning, Poké Ball & Great Tier)",Battle Stadium,International,1 May 2020,30 May 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - DLC Preparaton Gift #1,Wi-Fi,International,22 May 2020,28 May 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - DLC Preparaton Gift #2,Wi-Fi,International,29 May 2020,4 June 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Ranked Battle Season 6 (Master & Ultra Tier),Battle Stadium,International,1 June 2020,30 June 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Ranked Battle Season 6 (Great Tier),Battle Stadium,International,1 June 2020,30 June 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,"Pokémon Sword & Shield - Ranked Battle Season 6 (Beginning, Poké Ball & Great Tier)",Battle Stadium,International,1 June 2020,30 June 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,sweetapple,,no,no,,,0,,,,,,Pokémon Sword & Shield - DLC Preparaton Gift #3,Wi-Fi,International,5 June 2020,11 June 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - Store Tie in Gamemania (Netherlands),Serial Code,Europe,5 June 2020,5 July 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,,,no,no,,,0,,,,,,Pokémon Sword & Shield - DLC Preparaton Gift #4,Wi-Fi,International,12 June 2020,16 June 2020,"Sword, Shield"
/events/items/2020.shtml,,,,,armoriteore,,no,no,,,0,,,,,,Pokémon Sword & Shield / HOME Distribution,Serial Code,International,30 June 2020,6 July 2020,"Sword, Shield"
