dex,nome,sesso,gmax,forma,regione,commento
199,Slowking,,,,Johto (or Kanto),
200,Misdreavus,,,,Johto,
201,Unown,,,Unown A,Johto,
201,Unown,,,Unown B,Johto,
201,Unown,,,Unown C,Johto,
201,Unown,,,Unown D,Johto,
201,Unown,,,Unown E,Johto,
201,Unown,,,Unown F,Johto,
201,Unown,,,Unown G,Johto,
201,Unown,,,Unown H,Johto,
201,Unown,,,Unown I,Johto,
201,Unown,,,Unown J,Johto,
201,Unown,,,Unown K,Johto,
201,Unown,,,Unown L,Johto,
201,Unown,,,Unown M,Johto,
201,Unown,,,Unown N,Johto,
201,Unown,,,Unown O,Johto,
201,Unown,,,Unown P,Johto,
201,Unown,,,Unown Q,Johto,
201,Unown,,,Unown R,Johto,
201,Unown,,,Unown S,Johto,
201,Unown,,,Unown T,Johto,
201,Unown,,,Unown U,Johto,
201,Unown,,,Unown V,Johto,
201,Unown,,,Unown W,Johto,
201,Unown,,,Unown X,Johto,
201,Unown,,,Unown Y,Johto,
201,Unown,,,Unown Z,Johto,
201,Unown,,,Unown !,Kanto (Fire Red and Leaf Green),
201,Unown,,,Unown ?,Kanto (Fire Red and Leaf Green),
202,Wobbuffet,♂,,,Johto,
202,Wobbuffet,♀,,,Johto,
203,Girafarig,♂,,,Johto,
203,Girafarig,♀,,,Johto,
204,Pineco,,,,Johto,
205,Forretress,,,,Johto,
206,Dunsparce,,,,Johto,
207,Gligar,♂,,,Johto,
207,Gligar,♀,,,Johto,
208,Steelix,♂,,,Johto (or Kanto),
208,Steelix,♀,,,Johto (or Kanto),
209,Snubbull,,,,Johto,
210,Granbull,,,,Johto,
211,Qwilfish,,,,Johto,
212,Scizor,♂,,,Johto (or Kanto),
212,Scizor,♀,,,Johto (or Kanto),
213,Shuckle,,,,Johto,
214,Heracross,♂,,,Johto,
214,Heracross,♀,,,Johto,
215,Sneasel,♂,,,Johto,
215,Sneasel,♀,,,Johto,
216,Teddiursa,,,,Johto,
217,Ursaring,♂,,,Johto,
217,Ursaring,♀,,,Johto,
218,Slugma,,,,Johto,
219,Magcargo,,,,Johto,
220,Swinub,,,,Johto,
221,Piloswine,♂,,,Johto,
221,Piloswine,♀,,,Johto,
222,Corsola,,,,Johto,
223,Remoraid,,,,Johto,
224,Octillery,♂,,,Johto,
224,Octillery,♀,,,Johto,
225,Delibird,,,,Johto,
226,Mantine,,,,Johto,
227,Skarmory,,,,Johto,
228,Houndour,,,,Johto,
229,Houndoom,♂,,,Johto,
229,Houndoom,♀,,,Johto,
230,Kingdra,,,,Johto (or Kanto),
231,Phanpy,,,,Johto,
232,Donphan,♂,,,Johto,
232,Donphan,♀,,,Johto,
233,Porygon2,,,,Johto (or Kanto),
234,Stantler,,,,Johto,
235,Smeargle,,,,Johto,
236,Tyrogue,,,,Johto,
237,Hitmontop,,,,Johto,
238,Smoochum,,,,Johto,
239,Elekid,,,,Johto,
240,Magby,,,,Johto,
241,Miltank,,,,Johto,
242,Blissey,,,,Johto (or Kanto),
243,Raikou,,,,Johto,
244,Entei,,,,Johto,
245,Suicune,,,,Johto,
246,Larvitar,,,,Johto,
247,Pupitar,,,,Johto,
248,Tyranitar,,,,Johto,
249,Lugia,,,,Johto,
250,Ho-Oh,,,,Johto,
251,Celebi,,,,Johto (Crystal Virtual Console),"Formerly event exclusive but is indefinitely obtainable in Pokémon Crystal Virtual Console (only transferable if Pokémon Bank was downloaded from 3DS eShop before it was closed in March, 2023) and Pokémon Go"
252,Treecko,,,,Hoenn,
253,Grovyle,,,,Hoenn,
254,Sceptile,,,,Hoenn,
255,Torchic,♂,,,Hoenn,
255,Torchic,♀,,,Hoenn,
256,Combusken,♂,,,Hoenn,
256,Combusken,♀,,,Hoenn,
257,Blaziken,♂,,,Hoenn,
257,Blaziken,♀,,,Hoenn,
258,Mudkip,,,,Hoenn,
259,Marshtomp,,,,Hoenn,
260,Swampert,,,,Hoenn,
261,Poochyena,,,,Hoenn,
262,Mightyena,,,,Hoenn,
263,Zigzagoon,,,,Hoenn,
264,Linoone,,,,Hoenn,
265,Wurmple,,,,Hoenn,
266,Silcoon,,,,Hoenn,
267,Beautifly,♂,,,Hoenn,
267,Beautifly,♀,,,Hoenn,
268,Cascoon,,,,Hoenn,
269,Dustox,♂,,,Hoenn,
269,Dustox,♀,,,Hoenn,
270,Lotad,,,,Hoenn,
271,Lombre,,,,Hoenn,
272,Ludicolo,♂,,,Hoenn,
272,Ludicolo,♀,,,Hoenn,
273,Seedot,,,,Hoenn,
274,Nuzleaf,♂,,,Hoenn,
274,Nuzleaf,♀,,,Hoenn,
275,Shiftry,♂,,,Hoenn,
275,Shiftry,♀,,,Hoenn,
276,Taillow,,,,Hoenn,
277,Swellow,,,,Hoenn,
278,Wingull,,,,Hoenn,
279,Pelipper,,,,Hoenn,
280,Ralts,,,,Hoenn,
281,Kirlia,,,,Hoenn,
282,Gardevoir,,,,Hoenn,
283,Surskit,,,,Hoenn,
284,Masquerain,,,,Hoenn,
285,Shroomish,,,,Hoenn,
286,Breloom,,,,Hoenn,
287,Slakoth,,,,Hoenn,
288,Vigoroth,,,,Hoenn,
289,Slaking,,,,Hoenn,
290,Nincada,,,,Hoenn,Not transferable from BDSP but is transferalbe from SWSH
291,Ninjask,,,,Hoenn,
292,Shedinja,,,,Hoenn,
293,Whismur,,,,Hoenn,
294,Loudred,,,,Hoenn,
295,Exploud,,,,Hoenn,
296,Makuhita,,,,Hoenn,
297,Hariyama,,,,Hoenn,
298,Azurill,,,,Hoenn,
299,Nosepass,,,,Hoenn,
300,Skitty,,,,Hoenn,
301,Delcatty,,,,Hoenn,
302,Sableye,,,,Hoenn,
303,Mawile,,,,Hoenn,
304,Aron,,,,Hoenn,
305,Lairon,,,,Hoenn,
306,Aggron,,,,Hoenn,
307,Meditite,♂,,,Hoenn,
307,Meditite,♀,,,Hoenn,
308,Medicham,♂,,,Hoenn,
308,Medicham,♀,,,Hoenn,
309,Electrike,,,,Hoenn,
310,Manectric,,,,Hoenn,
311,Plusle,,,,Hoenn,
312,Minun,,,,Hoenn,
313,Volbeat,,,,Hoenn,
314,Illumise,,,,Hoenn,
315,Roselia,♂,,,Hoenn,
315,Roselia,♀,,,Hoenn,
316,Gulpin,♂,,,Hoenn,
316,Gulpin,♀,,,Hoenn,
317,Swalot,♂,,,Hoenn,
317,Swalot,♀,,,Hoenn,
318,Carvanha,,,,Hoenn,
319,Sharpedo,,,,Hoenn,
320,Wailmer,,,,Hoenn,
321,Wailord,,,,Hoenn,
322,Numel,♂,,,Hoenn,
322,Numel,♀,,,Hoenn,
323,Camerupt,♂,,,Hoenn,
323,Camerupt,♀,,,Hoenn,
324,Torkoal,,,,Hoenn,
325,Spoink,,,,Hoenn,
326,Grumpig,,,,Hoenn,
327,Spinda,,,,Hoenn,"Not transferable from BDSP or Pokémon Go into Pokémon HOME, so it must be transfered from Pokémon Bank to obtain it in Pokémon HOME"
328,Trapinch,,,,Hoenn,
329,Vibrava,,,,Hoenn,
330,Flygon,,,,Hoenn,
331,Cacnea,,,,Hoenn,
332,Cacturne,♂,,,Hoenn,
332,Cacturne,♀,,,Hoenn,
333,Swablu,,,,Hoenn,
334,Altaria,,,,Hoenn,
335,Zangoose,,,,Hoenn,
336,Seviper,,,,Hoenn,
337,Lunatone,,,,Hoenn,
338,Solrock,,,,Hoenn,
339,Barboach,,,,Hoenn,
340,Whiscash,,,,Hoenn,
341,Corphish,,,,Hoenn,
342,Crawdaunt,,,,Hoenn,
343,Baltoy,,,,Hoenn,
344,Claydol,,,,Hoenn,
345,Lileep,,,,Hoenn,
346,Cradily,,,,Hoenn,
347,Anorith,,,,Hoenn,
348,Armaldo,,,,Hoenn,
349,Feebas,,,,Hoenn,
350,Milotic,♂,,,Hoenn,
350,Milotic,♀,,,Hoenn,
351,Castform,,,,Hoenn,
352,Kecleon,,,,Hoenn,
353,Shuppet,,,,Hoenn,
354,Banette,,,,Hoenn,
355,Duskull,,,,Hoenn,
356,Dusclops,,,,Hoenn,
357,Tropius,,,,Hoenn,
358,Chimecho,,,,Hoenn,
359,Absol,,,,Hoenn,
360,Wynaut,,,,Hoenn,
361,Snorunt,,,,Hoenn,
362,Glalie,,,,Hoenn,
363,Spheal,,,,Hoenn,
364,Sealeo,,,,Hoenn,
365,Walrein,,,,Hoenn,
366,Clamperl,,,,Hoenn,
367,Huntail,,,,Hoenn,
368,Gorebyss,,,,Hoenn,
369,Relicanth,♂,,,Hoenn,
369,Relicanth,♀,,,Hoenn,
370,Luvdisc,,,,Hoenn,
371,Bagon,,,,Hoenn,
372,Shelgon,,,,Hoenn,
373,Salamence,,,,Hoenn,
374,Beldum,,,,Hoenn,
375,Metang,,,,Hoenn,
376,Metagross,,,,Hoenn,
377,Regirock,,,,Hoenn,
378,Regice,,,,Hoenn,
379,Registeel,,,,Hoenn,
380,Latias,,,,Hoenn,
381,Latios,,,,Hoenn,
382,Kyogre,,,,Hoenn,
383,Groudon,,,,Hoenn,
384,Rayquaza,,,,Hoenn,
385,Jirachi,,,,Sinnoh (BDSP) or Hoenn (Wish Maker Jirachi from Pokémon Colosseum bonus disk is indefinitely available but not with your own OT),"Formerly event exclusive but is indefinitely available in BDSP (must have SWSH save data on Switch) and Pokémon Go; can still be uptained through Pokémon Colossum or XD Gale of Darkness bonus disk, but without your own trainer ID"
386,Deoxys,,,Normal Forme,Hoenn (Omega Ruby and Alpha Sapphire),"Formerly event exclusive but is indefinitely available as end game Delta Mission in ORAS (only transferable if Pokémon Bank was downloaded from 3DS eShop before it was closed in March, 2023); reaccuringly available through Raid Events in Pokémon Go"
386,Deoxys,,,Attack Forme,Hoenn (Omega Ruby and Alpha Sapphire),"Formerly event exclusive but is indefinitely available as end game Delta Mission in ORAS (only transferable if Pokémon Bank was downloaded from 3DS eShop before it was closed in March, 2023); reaccuringly available through Raid Events in Pokémon Go"
386,Deoxys,,,Defense Forme,Hoenn (Omega Ruby and Alpha Sapphire),"Formerly event exclusive but is indefinitely available as end game Delta Mission in ORAS (only transferable if Pokémon Bank was downloaded from 3DS eShop before it was closed in March, 2023); reaccuringly available through Raid Events in Pokémon Go"
386,Deoxys,,,Speed Forme,Hoenn (Omega Ruby and Alpha Sapphire),"Formerly event exclusive but is indefinitely available as end game Delta Mission in ORAS (only transferable if Pokémon Bank was downloaded from 3DS eShop before it was closed in March, 2023); reaccuringly available through Raid Events in Pokémon Go"
387,Turtwig,,,,Sinnoh,
388,Grotle,,,,Sinnoh,
389,Torterra,,,,Sinnoh,
390,Chimchar,,,,Sinnoh,
391,Monferno,,,,Sinnoh,
392,Infernape,,,,Sinnoh,
393,Piplup,,,,Sinnoh,
394,Prinplup,,,,Sinnoh,
395,Empoleon,,,,Sinnoh,
396,Starly,♂,,,Sinnoh,
396,Starly,♀,,,Sinnoh,
397,Staravia,♂,,,Sinnoh,
397,Staravia,♀,,,Sinnoh,
398,Staraptor,♂,,,Sinnoh,
398,Staraptor,♀,,,Sinnoh,
399,Bidoof,♂,,,Sinnoh,
399,Bidoof,♀,,,Sinnoh,
400,Bibarel,♂,,,Sinnoh,
400,Bibarel,♀,,,Sinnoh,
401,Kricketot,♂,,,Sinnoh,
401,Kricketot,♀,,,Sinnoh,
402,Kricketune,♂,,,Sinnoh,
402,Kricketune,♀,,,Sinnoh,
403,Shinx,♂,,,Sinnoh,
403,Shinx,♀,,,Sinnoh,
404,Luxio,♂,,,Sinnoh,
404,Luxio,♀,,,Sinnoh,
405,Luxray,♂,,,Sinnoh,
405,Luxray,♀,,,Sinnoh,
406,Budew,,,,Sinnoh,
407,Roserade,♂,,,Sinnoh (or Hoenn),
407,Roserade,♀,,,Sinnoh (or Hoenn),
408,Cranidos,,,,Sinnoh,
409,Rampardos,,,,Sinnoh,
410,Shieldon,,,,Sinnoh,
411,Bastiodon,,,,Sinnoh,
412,Burmy,,,Plant Cloak,Sinnoh,
412,Burmy,,,Sandy Cloak,Sinnoh,
412,Burmy,,,Trash Cloak,Sinnoh,
413,Wormadam,,,Plant Cloak,Sinnoh,
413,Wormadam,,,Sandy Cloak,Sinnoh,
413,Wormadam,,,Trash Cloak,Sinnoh,
414,Mothim,,,,Sinnoh,
415,Combee,♂,,,Sinnoh,
415,Combee,♀,,,Sinnoh,
416,Vespiquen,,,,Sinnoh,
417,Pachirisu,♂,,,Sinnoh,
417,Pachirisu,♀,,,Sinnoh,
418,Buizel,♂,,,Sinnoh,
418,Buizel,♀,,,Sinnoh,
419,Floatzel,♂,,,Sinnoh,
419,Floatzel,♀,,,Sinnoh,
420,Cherubi,,,,Sinnoh,
421,Cherrim,,,,Sinnoh,
422,Shellos,,,West Coast Form,Sinnoh,
422,Shellos,,,East Coast Form,Sinnoh,
423,Gastrodon,,,West Coast Form,Sinnoh,
423,Gastrodon,,,East Coast Form,Sinnoh,
424,Ambipom,♂,,,Sinnoh (or Johto),
424,Ambipom,♀,,,Sinnoh (or Johto),
425,Drifloon,,,,Sinnoh,
426,Drifblim,,,,Sinnoh,
427,Buneary,,,,Sinnoh,
428,Lopunny,,,,Sinnoh,
429,Mismagius,,,,Sinnoh (or Johto),
430,Honchkrow,,,,Sinnoh (or Johto),
431,Glameow,,,,Sinnoh,
432,Purugly,,,,Sinnoh,
433,Chingling,,,,Sinnoh,
434,Stunky,,,,Sinnoh,
435,Skuntank,,,,Sinnoh,
436,Bronzor,,,,Sinnoh,
437,Bronzong,,,,Sinnoh,
438,Bonsly,,,,Sinnoh,
439,Mime Jr.,,,,Sinnoh,
440,Happiny,,,,Sinnoh,
441,Chatot,,,,Sinnoh,
442,Spiritomb,,,,Sinnoh,
443,Gible,♂,,,Sinnoh,
443,Gible,♀,,,Sinnoh,
444,Gabite,♂,,,Sinnoh,
444,Gabite,♀,,,Sinnoh,
445,Garchomp,♂,,,Sinnoh,
445,Garchomp,♀,,,Sinnoh,
446,Munchlax,,,,Sinnoh,
447,Riolu,,,,Sinnoh,
448,Lucario,,,,Sinnoh,
449,Hippopotas,♂,,,Sinnoh,
449,Hippopotas,♀,,,Sinnoh,
450,Hippowdon,♂,,,Sinnoh,
450,Hippowdon,♀,,,Sinnoh,
451,Skorupi,,,,Sinnoh,
452,Drapion,,,,Sinnoh,
453,Croagunk,♂,,,Sinnoh,
453,Croagunk,♀,,,Sinnoh,
454,Toxicroak,♂,,,Sinnoh,
454,Toxicroak,♀,,,Sinnoh,
455,Carnivine,,,,Sinnoh,
456,Finneon,♂,,,Sinnoh,
456,Finneon,♀,,,Sinnoh,
457,Lumineon,♂,,,Sinnoh,
457,Lumineon,♀,,,Sinnoh,
458,Mantyke,,,,Sinnoh,
459,Snover,♂,,,Sinnoh,
459,Snover,♀,,,Sinnoh,
460,Abomasnow,♂,,,Sinnoh,
460,Abomasnow,♀,,,Sinnoh,
461,Weavile,♂,,,Sinnoh (or Johto),
461,Weavile,♀,,,Sinnoh (or Johto),
462,Magnezone,,,,Sinnoh (or Kanto),
463,Lickilicky,,,,Sinnoh (or Kanto),
464,Rhyperior,♂,,,Sinnoh (or Kanto),
464,Rhyperior,♀,,,Sinnoh (or Kanto),
465,Tangrowth,♂,,,Sinnoh (or Kanto),
465,Tangrowth,♀,,,Sinnoh (or Kanto),
466,Electivire,,,,Sinnoh (or Kanto),
467,Magmortar,,,,Sinnoh (or Kanto),
468,Togekiss,,,,Sinnoh (or Johto),
469,Yanmega,,,,Sinnoh (or Johto),
470,Leafeon,,,,Sinnoh (or Kanto),
471,Glaceon,,,,Sinnoh (or Kanto),
472,Gliscor,,,,Sinnoh (or Johto),
473,Mamoswine,♂,,,Sinnoh (or Johto),
473,Mamoswine,♀,,,Sinnoh (or Johto),
474,Porygon-Z,,,,Sinnoh (or Kanto),
475,Gallade,,,,Sinnoh (or Hoenn),
476,Probopass,,,,Sinnoh (or Hoenn),
477,Dusknoir,,,,Sinnoh (or Hoenn),
478,Froslass,,,,Sinnoh (or Hoenn),
479,Rotom,,,Normal Rotom,Sinnoh,
479,Rotom,,,Heat Rotom,Sinnoh,
479,Rotom,,,Wash Rotom,Sinnoh,
479,Rotom,,,Frost Rotom,Sinnoh,
479,Rotom,,,Fan Rotom,Sinnoh,
479,Rotom,,,Mow Rotom,Sinnoh,
480,Uxie,,,,Sinnoh,
481,Mesprit,,,,Sinnoh,
482,Azelf,,,,Sinnoh,
483,Dialga,,,,Sinnoh,
484,Palkia,,,,Sinnoh,
485,Heatran,,,,Sinnoh,
486,Regigigas,,,,Sinnoh,
487,Giratina,,,,Sinnoh,
488,Cresselia,,,,Sinnoh,
489,Phione,,,,"Hisui or Sinnoh (trade to get a Phione or Manaphy from Pokémon Ranger, one per cartridge, or send to BDSP from PLA to breed)",Formerly event exclusive but is indefinitely available in PLA or any game where Phione or Manaphy is already obtained and breedable
490,Manaphy,,,,"Hisui or Sinnoh (from Pokémon Ranger, one per cartridge)",Formerly event exclusive but is indefinitely available in PLA
491,Darkrai,,,,Hisui,Formerly event exclusive but is indefinitely available in PLA (must have save data from BDSP on Switch); reaccuringly available through Raid Events in Pokémon Go
492,Shaymin,,,Land Forme,Hisui,Formerly event exclusive but is indefinitely available in PLA (must have save data from SWSH on Switch) and Pokémon Go
492,Shaymin,,,Sky Forme,Hisui,Formerly event exclusive but is indefinitely available in PLA (must have save data from SWSH on Switch) and Pokémon Go
493,Arceus,,,,Hisui or Sinnoh (can be caught in PLA or BDSP),Formerly event exclusive but is indefinitely available in PLA and BDSP (with PLA save data on Switch)
494,Victini,,,,Event or Pokémon Go,Formerly event exclusive but is indefinitely available in Pokémon Go
495,Snivy,,,,Unova,
496,Servine,,,,Unova,
497,Serperior,,,,Unova,
498,Tepig,,,,Unova,
499,Pignite,,,,Unova,
500,Emboar,,,,Unova,
501,Oshawott,,,,Unova,
502,Dewott,,,,Unova,
503,Samurott,,,,Unova,
504,Patrat,,,,Unova,
505,Watchog,,,,Unova,
506,Lillipup,,,,Unova,
507,Herdier,,,,Unova,
508,Stoutland,,,,Unova,
509,Purrloin,,,,Unova,
510,Liepard,,,,Unova,
511,Pansage,,,,Unova,
512,Simisage,,,,Unova,
513,Pansear,,,,Unova,
514,Simisear,,,,Unova,
515,Panpour,,,,Unova,
516,Simipour,,,,Unova,
517,Munna,,,,Unova,
518,Musharna,,,,Unova,
519,Pidove,,,,Unova,
520,Tranquill,,,,Unova,
521,Unfezant,♂,,,Unova,
521,Unfezant,♀,,,Unova,
522,Blitzle,,,,Unova,
523,Zebstrika,,,,Unova,
524,Roggenrola,,,,Unova,
525,Boldore,,,,Unova,
526,Gigalith,,,,Unova,
527,Woobat,,,,Unova,
528,Swoobat,,,,Unova,
529,Drilbur,,,,Unova,
530,Excadrill,,,,Unova,
531,Audino,,,,Unova,
532,Timburr,,,,Unova,
533,Gurdurr,,,,Unova,
534,Conkeldurr,,,,Unova,
535,Tympole,,,,Unova,
536,Palpitoad,,,,Unova,
537,Seismitoad,,,,Unova,
538,Throh,,,,Unova,
