Game,Pokémon,Nickname,OT/ID,Trainer requests,Category,Comments,Checklist
,Evolved Hoenn starters,-,Orlando/Random ID,-,Gift Pokémon,Can't be transferred from the demo to any other game or Bank.,FALSE
"Sun and Moon Demo
↓
SM",Ash Greninja,-,Ash/131017,-,Gift Pokémon,Obtained in the SM demo. Can be transferred to SM and from there to Bank.,FALSE
,,,,,,,FALSE
,,,,,,,FALSE
,,,,,,,FALSE
,,,,,,,FALSE
,,,,,,,FALSE
,,,,,,,FALSE
,,,,,,,FALSE
,,,,,,,FALSE
,,,,,,,FALSE
,,,,,,,FALSE
,,,,,,,FALSE
,,,,,,,FALSE
,,,,,,,FALSE
